account_name;followers_count;following_count
just_4ina;293;295
sapargalinauryzbay;223;247
justaskhat;421;1062
timur.a.k_03;49;170
abyllash;186;179
_sanaqov;400;405
zhyldabyl;492;132
mahmetsultanov;123;134
hamitove;315;309
ospan_sm;149;186
temirlanshaikenov;54;57
xsayat;305;369
s_zhanbo;200;293
fariza2912;1219;367
kud_adi;250;437
fearless_white_master;390;616
aigeriim.s;320;502
sandu2065mail.ru;304;574
rtolganay;469;222
ngm.orz;47;158
perizat.mukhanova;394;367
ollzhaa;912;637
anarabildina;317;567
almagambetoff;452;330
_janb0;231;636
jabrail.chumakov;621;417
nur.rymtayev;96;185
sultan_aytzhan;451;627
yersultanrais;339;289
